noads.month.button,Month,月,Месяц,月,Mois,Monat,개월,,
noads.1month.button,1 Month,1月,1 месяц,1个月,1 mois,1 Monat,1개월,,
noads.6month.button,6 Months,6月,6 месяцев,6个月,6 mois,6 Monate,6개월,,
noads.1year.button,1 Year,1年,1 год,1年,1 an,1 Jahr,1년,,
noads.months.button,Months,月,Месяцев,月,Mois,Monate,개월,,
noads.year.button,Year,年,Год,年,Année,Jahr,년,,
noads.subscribed.text,Subscribed,登録,Подписка оформлена,订阅,Abonné,Abonniert,구독 중,,
noads.restore.button,Restore,復元,Восстановить,恢复,Restaurer,Wiederherstellen,복원,,
noads.network_unavailable,Network unavailable,ネットワーク利用不可,Нет подключения к сети,网络不可用,Réseau indisponible,Netzwerk nicht verfügbar,네트워크를 사용할 수 없습니다,,
noads.network_content.text,"The purchase can't be completed, please check your internet connection",購入は完了できませんでした。インターネットの接続を確認してください,Невозможно завершить вашу покупку из-за отсутствия подключения к сети,购买无法完成，请检查您的网络连接,"L'achat ne peut pas être finalisé, veuillez vérifier votre connexion internet",Der Kauf kann nicht abgeschlossen werden. Bitte überprüfe deine Internetverbindung,구매를 완료할 수 없습니다. 인터넷 연결을 확인하세요,,
noads.network_content.text2,The purchase can't be completed, 購入は完了できませんでした。,Невозможно завершить вашу покупку,购买无法完成,L'achat ne peut pas être finalisé,Der Kauf kann nicht abgeschlossen werden.,구매를 완료할 수 없습니다,,
noads.congratulations.text,Congratulations,おめでとう,Поздравляем,恭喜,Félicitations,Herzlichen Glückwunsch!,축하합니다,,
noads.restore_successfully.text,You've restored IAP successfully,IAPの復元は完了しました。,Вы успешно восстановили внутриигровую покупку,您已成功恢复IAP,Vous avez restauré l'IAP avec succès,IAP wurde erfolgreich wiederhergestellt.,IAP를 성공적으로 복원했습니다,,
noads.purchase_successfully.text,You've purchased x month(s) Remove Ads Package.,［何ヶ月］の広告の削除を購入しました,Вы приобрели пакет для отключения рекламы на X месяц(-ев).,您已购买x个月移除广告套餐。,Vous avez acheté x mois le pack de suppression d'annonces.,Du hast das werbefreie Paket für x Monat (e) gekauft.,X개월 광고 제거 패키지를 구매하셨습니다.,,
noads.purchase_no_package.text,You don't have any package\n to restore,復元するパッケージがありません,У вас нет покупок для\nвосстановления,您没有任何套餐\n可以恢复,Vous n'avez aucun paquet\n à restaurer,Du musst kein Paket\n wiederherstellen.,복원할 패키지가\n없습니다,,
newgame.best.text,BEST,ベスト,РЕКОРД,最佳,MEILLEUR,BESTE,베스트,,
newgame.best.text2,Best:,ベスト,РЕКОРД:,最佳：,Meilleur:,Beste:,베스트:,,
gameover.best.text,BEST: {0},{0} ベスト,РЕКОРД: {0},最佳：{0},MEILLEUR : {0},BESTE: {0},베스트: {0},,
newgame.go.text,Go!,行こう!,Вперед!,走！,Allez !,Los!,Go!,,
gameplay.more_tip_1.text,HELPFUL TIP,役立つヒント,ПОЛЕЗНЫЕ СОВЕТЫ,有益提示,CONSEILS UTILES,HILFREICHE TIPPS,유용한 팁,,
gameplay.more_tip_2.text,Look and plan your next move,見て、次の動きを考える,Посмотрите и спланируйте свой следующий шаг,观察并计划下一步行动,Regardez et planifiez votre prochain coup,Sieh genau hin und plane deinen nächsten Schritt.,다음 행동을 보고 계획하십시오,,
gameplay.new_best_score.text,New best score,新ベストスコア,Новый рекорд,新最佳分数,Nouveau meilleur score,Neue beste Punktzahl,새로운 최고 점수,,
gameplay.combo.text,Combo,コンボ,Комбо,组合,Combo,Kombo,콤보,,
gameplay.awesome.text,Awesome,ステキ,Круто,真棒,Génial,Genial,굉장해요,,
gameplay.crazy.text,Crazy,クレイジー,Невероятно,疯狂,Fou,Verrückt,엄청나요,,
gameplay.what.text,What,何,Что,什么,Quoi,Was,세상에,,
gameplay.surreal.text,Surreal,シュール,Волшебно,离奇,Surréaliste,Surreal,너무 뛰어나요,,
gameplay.unbelievable.text,Unbelievable,有り得ないほど,Сногсшибательно,难以置信,Incroyable,Unglaublich,믿을 수 없어요,,
gameplay.impressive.text,Impressive,すごい！感動！,Впечатляет,令人难忘,Impressionnant,Beeindruckend,인상적이에요,,
gameplay.mind_blowing.text,Mind Blowing,夢みたい,Разрыв мозга,动人心弦,Hallucinant,Umwerfend,너무 놀라워요,,
gameplay.level_up_1.text,Level {0},レベル{0},Уровень {0},等级{0},Niveau {0},Level {0},레벨 {0},,
gameplay.level_up_2.text,x{0} points,x {0}ポイント,x{0} баллов,x{0}分,x {0} points,x {0} Punkte,x{0} 포인트,,
gameplay.level.text,LEVEL {0},レベル{0},Уровень {0},等级{0},NIVEAU {0},LEVEL {0},레벨 {0},,
gameplay.dance_1.text,That's AMAZING! Let's make more combos.,すごいです！もっとコ\nンボを作りましょう。,Это ВОСХИТИТЕЛЬНО! \nДавай сделаем еще больше комбо.,太棒了！让我们做更多的组合。,C'est INCROYABLE ! Faisons plus de combos !,Das ist UNGLAUBLICH!\n Lass uns noch mehr Combos machen.,"오, 놀라워라! 더 많은 콤보를 만들어 봅시다.",,
gameplay.dance_2.text,FANTASTIC! New daily best recorded.,実に見事です！新しい\n日々の最良の記録。,ФАНТАСТИКА! Новый ежедневный рекорд.,神奇！新的每日最佳被记录。,FANTASTIQUE ! Nouveau meilleur rÃ©sultat quotidien.,FANTASTISCH! Neue tÃ¤gliche Bestleistung.,환상적이에요! 새로운 일일 최고 기록.,,
gameplay.kiss_1.text,SENSATIONAL! You beat your own best score.,センセーショナル！\n自分自身の最高のスコアを更新しました。,СЕНСАЦИОННО! \nТы побил свой собственный рекорд.,太棒了！\n您击败了自己的最佳成绩。,SENSATIONNEL ! \nVous avez dÃ©passÃ© votre meilleur rÃ©sultat.,SENSATIONELL! \nDu hast deine eigene hÃ¶chste Punktzahl Ã¼bertroffen.,대단해요! \n본인 최고 점수를 갱신했습니다.,,
gameplay.kiss_2.text,WELL DONE! Keep going.,よくできました！\n挑戦し続けましょう。,ОТЛИЧНО! \nПродолжай в том же духе.,做得好！继续。,BIEN JOUÃ‰ ! Continuez.,GUT GEMACHT! Mach weiter so.,잘 하셨어요! 계속하세요.,,
gameplay.yawn.text,"Come on! Let's make some moves, I'm bored!",さあ！いくつかの動きをしましょう\n退屈しています！,"Вперед! Давай подвигаемся, \nмне скучно!",来吧！让我们采取一些行动，\n我很无聊！,"Allez-y ! Faisons quelques coups, \nje m'ennuie !","Komm schon! Lass uns ein paar Moves ausprobieren,\n mir ist langweilig!","어서 오세요! 움직여 보자, 지루해!",,
gameplay.cry.text,"Help me! It's getting closer, stay with me.",助けて！近づいています、\n私と一緒にいてください。,"Помоги мне! Он приближается, \nоставайся со мной.",帮我！越来越近了，和我在一起。,"Aidez-moi ! Ã‡a se rapproche, restez avec moi.","Hilf mir! Es kommt nÃ¤her, bleib bei mir.",도와 줘요! 점점 가까워지고 있어요. \n나와 함께 해요.,,
gameplay.scare.text,"Keep sliding, don't forget to use boosters.",スライドを続け、ブースターを使用する\nことを忘れないでください。,"Продолжай скользить, \nне забывай использовать бустеры.",继续滑动，别忘了使用助推器。,"Continuez Ã  glisser, n'oubliez \n pas d'utiliser des boosters.","Rutsche weiter, vergiss nicht \n Booster zu verwenden.","계속 슬라이딩하고, 부스터 사용하는 \n것을 잊지 마세요.",,
gameplay.point_down.text,What are you looking at? I'm here!,何を見ていますか？\n私はここにいます！,Куда ты уставился? Я здесь!,你在看什么？我在这！,Qu'est ce que vous regardez ? Je suis lÃ  !,Wo schaust du hin? Ich bin hier!,지금 무엇을 보고 있습니까? \n저는 여기 있어요!,,
omc.title.text,Continue?,続ける？,Продолжить?,继续？,Continuer ?,Fortsetzen?,계속하시겠습니까?,,
omc.score.text,Score,スコア,РЕЗУЛЬТАТ,分数,Score,Punkte,점수,,
omc.continue.button,Continue,続ける,Продолжить,继续,Continuer,Fortsetzen,계속,,
gameover.congratulation.text,Congratulations,おめでとう,Поздравляем,恭喜,Félicitations,Herzlichen Glückwunsch!,축하합니다,,
gameover.nice moves.text,Nice moves,いいスライド,Классная стратегия,漂亮动作,Jolis coups,Schöne Züge,좋은 이동이었어요,,
gameover.awesome.text,Awesome,ステキ,Круто,真棒,Génial,Genial,굉장해요,,
gameover.incredible.text,Incridible,すごい,Невероятно,不可思议,Incroyable,Einmalig,놀라워요,,
gameover.good_job.text,Good Job,よくできました,Хорошая работа,做得好,Bon travail,Gut gemacht.,잘하셨어요,,
gameover.impressive.text,Impressive,感動的！,Впечатляет,令人难忘,Impressionnant,Beeindruckend,인상적이에요,,
gameover.fantastic.text,Fantastic,素晴らしい,ОТЛИЧНО,神奇,Fantastique,Fantastisch,환상적이에요,,
gameover.unbelievable.text,Unbelievable,有り得ないほど,Сногсшибательно,难以置信,Incroyable,Unglaublich,믿을 수 없어요,,
gameover.your_score.text,YOUR SCORE,スコア,Ваш результат,你的分数,Votre score,Deine Punktzahl,내 점수,,
gameover.new_high_score.lable,New high score,新ハイスコア,Новый рекорд,新高分,Nouveau record,Neuer Highscore,새로운 최고 점수,,
gameover.fact_1.text,You've been playing with Haru for {0} minutes so far.,これまで {0} 分間、\nHaruをプレイしました。,Вы играете с Хару {0} минут.,到目前为止，\n你已玩Haru的时间为{0}分钟。,Vous jouez avec Haru depuis {0} minutes jusqu'à présent.,Du hast bis jetzt {0} Minuten mit Haru gespielt.,지금까지 {0} 분 동안 Haru와 함께 플레이하셨습니다.,,
gameover.fact_2.text,Wow! You have got {0} this week.,うわー！今週、\n{0} を取得しました。,Вот это да! \nУ вас есть {0} на этой неделе.,哇！你本周已获得{0}。,Wow ! Vous avez obtenu {0} cette semaine,Wow! Du hast diese Woche {0} erreicht.,와우! 이번 주에 {0}점을 받으셨어요,,
gameover.fact_3.text,{0} is your lifetime score. That's awesome!,{0} はあなたの生涯スコアです。\nすごい！,{0} - ваш результат за всё время. \nЭто потрясающе!,{0}是你的终身分数。棒极了！,{0} est votre score à vie. C'est génial !,{0} ist dein Lebenszeit-Ergebnis. Das ist großartig!,{0}는 평생 최고 점수입니다. 굉장합니다!,,
gameover.fact_4.text,Incredible! Your best now: {0}\n Can you break your best score today?,信じられない！今のベスト：{0} \ n 今日のベストスコアを破ることはできますか？,Невероятно! Ваш лучший результат: {0}  \n Сможете ли вы побить свой лучший результат сегодня?,不可思议！你现在的最佳：{0}  \n今天你能打破你的最佳分数吗？,Incroyable ! Votre meilleur score maintenant : {0}  \nPouvez-vous battre votre meilleur score aujourd'hui ? ,Unglaublich! Dein bestes Ergebnis: {0}  \nÜbertriffst du heute dein bestes Ergebnis?,놀라워요! 현재 최고 점수:{0}  \n 오늘 최고 점수를 깰 수 있을까요?,,
gameover.fact_5.text,WOW! Your current ranking is {0},うわー！現在のランキングは {0} です,ВОТ ЭТО ДА! Ваш текущий рейтинг {0} ,哇！你当前的排名为{0} ,HOU LA LA ! Votre classement actuel est {0} ,WOW! Dein aktuelles Ranking ist {0} ,와우! 현재 순위는 {0} 입니다.,,
gameover.fact_6.text,Fantastic! You've got {0} this month. Keep it up!,素晴らしい！今月のスコアは {0}  です。\nこれらかもがんばって！,Фантастика! В этом месяце у вас {0} . Так держать!,太棒了！你本月已获得{0} 。保持下去！,Fantastique ! Vous avez {0}  ce mois-ci. Continuez !,Fantastisch! Sie haben diesen Monat {0} . Mach weiter!,환상적이에요! 이번 달에 {0}  점을 받았습니다. 계속하세요!,,
gameover.fact_7.text,HURRAYY! You've played with Haru {0} times this week.,急いで！今週、\nHaru を {0}  プレイしました。,УРА! На этой неделе вы играли с Хару {0} ,太好了！你本周已玩Haru的时间为{0} 。,YOUPI ! Vous avez joué avec Haru {0}  cette semaine.,HURRAYY! Du hast diese Woche mit Haru {0}  gespielt.,서두르세요! 이번 주에 Haru를 {0} 번 플레이하셨습니다.,,
gameover.fact_8.text,You could turn off Vibration in the Pause page.,一時停止のページでバイブレーションを\nオフにすることができます。,Вы можете отключить Вибрацию на странице Паузы.,你可以在暂停页面中关闭振动。,Vous pouvez désactiver les vibrations dans la page Pause.,Deaktiviere Vibration auf der Seite Pause.,일시 정지 페이지에서 진동을 끌 수 있습니다.,,
gameover.fact_9.text,You could turn off Hints in the Pause page.,一時停止のページでヒントを\nオフにすることができます。,Вы можете отключить Подсказки на странице Паузы.,你可以在暂停页面中关闭提示。,Vous pouvez désactiver les astuces dans la page Pause.,Deaktiviere die Hinweise auf der Seite Pause.,일시 중지 페이지에서 힌트를 끌 수 있습니다.,,
gameover.fact_10.text,You could turn off Sound/ Music in the Pause page.,一時停止のページでサウンド/ \n音楽をオフにすることができます。,Вы можете отключить Звук / Музыку на странице Паузы.,你可以在暂停页面中关闭声音/音乐。,Vous pouvez désactiver le son la\n musique dans la page Pause.,Deaktiviere Ton/Musik auf der Seite Pause.,일시 중지 페이지에서 사운드/음악을 끌 수 있습니다.,,
gameover.fact_11.text,"On iOS, you could use Haru stickers on iMessage.",iOS では、iMessage で \nHaru ステッカーを使用できます。,На iOS вы можете использовать стикеры Хару в iMessage.,在iOS上，你可以在iMessage上使用Haru贴纸。,"Sur iOS, vous pouvez utiliser des\n autocollants Haru sur iMessage.",Im iOS kannst du Haru-Sticker in iMessage verwenden.,iOS에서는 iMessage에서 Haru 스티커를 사용할 수 있습니다.,,
gameover.fact_12.text,Playing tips: you should prioritize to clear the block-sized 3.,ゲームプレイのヒント：ブロックサイズの 3 を\nクリアすることを優先にします。,"Советы по игре: вы должны расставить приоритеты, \nчтобы очистить блок из 3 элементов.",播放提示：你应该优先清除大小为3的方块。,Conseils de jeu : vous devez prioriser\n pour supprimer la taille d'un bloc 3.,Spieltipps: Entferne zuerst die Blöcke der Größe 3.,게임 팁: 블록 크기 3을 지우려면 우선 순위를 지정해야합니다.,,
gameover.fact_13.text,Playing tips: you should focus on special blocks first.,ゲームプレイのヒント：\nまず特別なブロックに注意を集中します。,Советы по игре: сначала вам нужно сосредоточиться на специальных блоках.,游戏技巧：你应该首先关注特殊方块。,Conseils de jeu : vous devez d'abord\n vous concentrer sur les blocs spéciaux.,Spieltipps: Konzentriere dich zuerst auf spezielle Blöcke.,플레이 팁: 먼저 특수 블록에 집중해야 합니다.,,
gameover.fact_14.text,You could check your Score Record in Home→Score page.,ホーム→スコアページで\nスコアレコードを確認できます。,Вы можете проверить свой результат\n на странице Главная → Рейтинг.,你可以在主页→分数页面中查看分数记录。,Vous pouvez vérifier l'enregistrement de\n votre score dans la page Accueil → Score.,Du findest dein Ergebnis unter Startseite → Ergebnisseite.,홈 → 점수 페이지에서 점수 기록을 확인할 수 있습니다.,,
gameover.fact_15.text,You could convert silver fishes to gold fishes in Shop.,ショップ でシルバーフィッシュを\nゴールドフィッシュに変換できます。,Вы можете превратить серебряных\n рыбок в золотых в Магазине.,你可以在商店将银鱼转换为金鱼。,Vous pouvez convertir les poissons\n d'argent en poissons d'or dans Shop.,Tausche im Shop Silberfische gegen Goldfische ein.,상점에서 은색 물고기를 황금 물고기로 변환할 수 있습니다.,,
gameover.fact_16.text,Use Silver Fish to play Gacha and collect Haru cat stickers!,シルバーフィッシュでガチャをプレイして\nHaruの猫ステッカーを入手できます。,"Серебряные рыбки должны сыграть \nв Гачу, чтобы получить наклейки с Хару.",银鱼用来抽奖，以获取Haru猫贴纸。,Les poissons d'argent doivent jouer à\n Gacha pour obtenir des autocollants de chat Haru.,"Silberfische werden beim Gacha eingesetzt,\n um Haru-Katzen-Sticker zu bekommen.",은빛 물고기는 Haru 고양이 스티커를 얻기\n 위해 가챠를 플레이하는 것입니다.,,
gameover.fact_17.text,You could get gold fishes and boosters via Lucky Draw.,ラッキードローでゴールドフ\nィッシュとブースターを入手できます。,Вы можете получить золотых рыбок и\n бустеры через Счастливый захват.,你可以通过幸运抽奖获得金鱼和助推器。,Vous pouvez obtenir des poissons\n d'or et des boosters via Lucky Draw.,Goldfische und Booster erhältst du in der Tombola.,추첨을 통해 황금 물고기와 부스터를 얻을 수 있습니다.,,
gameover.fact_18.text,"Use Haru special skills before every 3 levels (3-6-9-12, etc.)",3 つのレベルごと（3-6-9-12 など）\nにHaru の特殊スキルを使用する,Используйте специальные навыки Хару\n перед каждыми 3 уровнями (3-6-9-12 и т.д.),每3个级别（3-6-9-12等）之前使用Haru特殊技能,"Utilisez les compétences spéciales de\n Haru avant tous les 3 niveaux (3-6-9-12, etc.)",Setze die Haru-Spezialfähigkeiten vor jedem 3. Level ein (3-6-9-12 usw.),"3 레벨 (3-6-9-12, 등)마다 Haru 특기 사용",,
gameover.fact_19.text,There are Haru characters with special skills to support you to play.,ゲームプレイをサポートする特別\nなスキルを持つHaru のキャラクターがいます。,"Имеются персонажи Хару со специальными\n навыками, которые помогут вам в игре.",具有特殊技能的Haru角色可以支持你玩游戏。,Il y a des personnages Haru avec des\n compétences spéciales pour vous aider à jouer.,"Es gibt Haru-Charaktere mit besonderen Fähigkeiten,\n die dir im Spiel helfen.",플레이를 지원하는 특별한 스킬을 가진 Haru 캐릭터가 있습니다.,,
gameover.fact_20.text,Haru Wizard can freeze all upcoming blocks for 2 turns.,Haru ウィザードは、出てくるすべて\nのブロックを 2 ターンの間フリーズさせることができます。,Мастер Хару может заморозить\n все ближайшие блоки на 2 хода.,Haru巫师可以在2个回合冻结所有即将到来的方块。,Haru Wizard pourrait geler tous\n les blocs à venir pendant 2 tours.,Haru Magier kann die nächsten\n Blöcke für 2 Runden einfrieren.,Haru 마법사는 다음 블록을 모두 2번에 동결시킬 수 있습니다.,,
gameover.fact_21.text,Haru King could throw 3 thunderballs every 3 levels.,Haru のキングは 3 レベルごとに\n 3 つのサンダーボールを投げることができる。,Король Хару может бросать 3 \nгромовых шара каждые 3 уровня.,Haru国王每3个级别可以投掷3个雷球。,Haru King pourrait lancer 3 boules\n de foudre tous les 3 niveaux.,Haru König kann in jedem 3.\n Level 3 Donnerbälle werfen.,Haru 킹은 3레벨마다 3개의 천둥 볼을 던질 수 있습니다.,,
gameover.fact_22.text,All your game progress is saved after uninstalls if you logged in.,ログインしてアンインストールをすると、\nゲームのすべての進行状況が保存されます。,"Весь ваш игровой прогресс сохраняется \nпосле удаления, если вы авторизовались.",如果你登录，则卸载后所有游戏进度将保存。,Toute la progression de votre jeu est sauvegardée\n après la désinstallation si vous vous êtes connecté.,Wenn du dich angemeldet hast wird der\n gesamte Spielfortschritt nach der Deinstallation gespeichert.,로그인하면 제거 후 모든 게임 진행 상황이 저장됩니다.,,
gameover.fact_23.text,Playing tips: check next blocks before you move the cat.,ゲームプレイのヒント：猫を動かす前に次の\nブロックを確認してみてください。,"Советы по игре: проверьте следующие блоки,\n прежде чем перемещать кота.",游戏技巧：移动猫之前，请先查看下一个方块。,Conseils de jeu : vérifiez les blocs\n suivants avant de déplacer le chat.,"Spieltipps: Sieh dir die nächsten Blöcke an,\n bevor du die Katze bewegst.",게임 팁: 고양이를 움직이기 전에 다음 블록을 확인하십시오.,,
gameover.fact_24.text,Overall brain processing power and detail memory peaks around age 18.,全体的な脳の処理能力と細かいことの\n記憶は 18 歳頃にピークに達します。,Общая вычислительная мощность мозга и память\n на детали достигают пика примерно в 18 лет.,整体的大脑处理能力和细节记忆在18岁左右达到顶峰。,La puissance globale de traitement du cerveau et la\n mémoire des détails atteignent leur maximum vers 18 ans.,Die allgemeine Verarbeitungsleistung des Gehirns und das\n Detailgedächtnis sind mit etwa 18 Jahren am leistungsfähigsten.,전반적인 두뇌 처리 능력과 세부 기억은\n 18세 전후에 최고조에 달합니다.,,
gameover.fact_25.text,The ability to learn unfamiliar names peaks at age 22.,なじみの薄い名前を覚える能\n力は 22 歳でピークに達します。,Пик способности выучивать незнакомые\n имена приходится на 22 года.,学习陌生名字的能力在22岁时达到顶峰。,La capacité d'apprendre des noms\n inconnus atteint son apogée à 22 ans.,"Die Fähigkeit, unbekannte Namen zu lernen,\n erreicht im Alter von 22 Jahren ihren Höhepunkt.",낯선 이름을 배우는 능력은 22세에 절정에 이릅니다.,,
gameover.fact_26.text,Peak facial recognition ability occurs around age 32.,顔認識能力のピークは 32 歳頃です。,Пик способности распознавать\n лица приходится на 32 года.,面部识别能力最强的年龄为32岁左右,La capacité maximale de\n reconnaissance faciale survient vers 32 ans.,Um das 32. Lebensjahr ist die Leistung der\n Gesichtserkennung am besten.,최대 안면 인식 능력은 32세경에 발생합니다.,,
gameover.fact_27.text,Concentration abilities peak around age 43.,集中力は 43 歳頃にピークに達します。,Пик концентрации внимания приходится на 43 года.,注意力集中能力在43岁左右达到顶峰。,Les capacités de concentration\n atteignent leur maximum vers 43 ans.,Die Konzentrationsfähigkeit ist um das 43.\n Lebensjahr am höchsten.,집중력은 43세경에 최고조에 달합니다.,,
gameover.fact_28.text,We're the best at identifying others' emotions at age 48.,他人の感情を識別する\n能力は48歳がピークです。,Мы лучше всего умеем распознавать\n эмоции других людей в 48 лет.,最擅长识别他人情绪的年龄为48岁。,Nous sommes les meilleurs pour\n identifier les émotions des autres à 48 ans.,Emotionen anderer erkennen wir im Alter\n von 48 Jahren mit höchster Genauigkeit.,우리는 48세에 다른 사람의 감정을 식별하는 데 최고입니다.,,
gameover.fact_29.text,The ability to do basic arithmetic peaks at age 50.,基本的な算数の能力は\n50歳でピークを迎えます。,Способность выполнять базовые арифметические\n операции достигает пика в 50 лет.,进行基本算术运算的能力在50岁时达到顶峰。,La capacité de de l'arithmétique de base culmine à 50 ans.,Grundlegende arithmetische Aufgaben\n beherrschen wir im Alter von 50 Jahren am besten.,50세에 기본적인 산술 능력이 최고에 달합니다.,,
gameover.fact_30.text,Peak ability to learn and understand new information also occurs around age 50.,新しいことを覚え、理解する能力の\nピークは50 歳前後です。,Пиковая способность изучать и понимать новую\n информацию также наблюдается в возрасте 50 лет.,学习和理解新信息的能力在50岁左右达到顶峰。,La capacité maximale d'apprendre et de comprendre de\n nouvelles informations se produit également vers 50 ans.,Höchstleistungen beim Lernen und der Aufnahme neuer\n Informationen treten auch im Alter von etwa 50 Jahren auf.,새로운 정보를 배우고 이해하는 최고\n 능력은 50세 전후에 발생합니다.,,
gameover.fact_31.text,Peak vocabulary skills happen around age 67.,語彙力のピークは 67 歳頃です。,Максимальный словарный запас\n приходится примерно на 67 лет.,最高的词汇技能出现在67岁左右。,Les compétences de vocabulaire maximales\n surviennent vers 67 ans.,Die höchsten Wortschatzfähigkeiten\n werden im Alter von 67 Jahren erreicht.,최고의 어휘 능력은 67세경에 발생합니다.,,
gameover.fact_32.text,NASA recently pinpointed the perfect nap is 26 minutes long.,NASA は最近、最適な昼寝の時間は 26\n 分であると指摘しました。,"НАСА недавно установило, что идеальный\n период дремоты длится 26 минут.",NASA最近指出，完美的午睡时间为26分钟。,La NASA a récemment identifié que\n la sieste parfaite dure 26 minutes.,"Die NASA hat kürzlich festgestellt,\n dass das perfekte Nickerchen 26 Minuten dauert.",NASA는 최근 완벽한 낮잠 시간이 26분이라고 지적했습니다.,,
gameover.fact_33.text,Can't get out of bed in the morning? It's called dysania.,朝、ベッドから起きられませんか？\nそれはジサニアと呼ばれています。,Не можете встать с постели по утрам?\nЭто называется дизания.,早上起床困难？这叫做起床困难症。,Vous ne pouvez pas sortir du lit le matin ?\n Cela s'appelle la dysanie.,Du kannst morgens nicht aufstehen? Das ist Dysania.,아침에 침대에서 일어날 수 없습니까? 다이사니아라고 합니다.,,
gameover.fact_34.text,"If you love the game, please rate us on the Store.",本ゲームが気に入りましたら、\nストアで評価をお願いいたします。,"Если вам нравится игра,\n поставьте нам оценку в магазине.",如果你喜欢这款游戏，请在商店中评价我们。,"Si vous aimez le jeu, veuillez nous noter dans la boutique.","Bewerte uns bitte im Store, wenn dir das Spiel gefällt.",게임이 마음에 들면 스토어에서 평가해주세요.,,
reward.desc,Earn exciting new rewards each time you level up.,ランクアップするとリワードがあります。,При повышении ранга полагаются награды.,当你升级时有奖励。,Il y a des récompenses lorsque vous vous classez.,"Es gibt Belohnungen, wenn du aufsteigst.",순위를 올리면 보상이 있습니다.,,
gameover.today_rank.text,Today's Ranking:,本日のランキング,Рейтинг сегодня,今日排名,Classement du jour,Ranking heute,오늘의 랭킹,,
gameover.lines_cleared.text,Lines Cleared ,クリアされたライン,Линейки очищены,清除的行数,Lignes supprimées,Reihen entfernt,삭제된 라인,,
gameover.special_blocks_cleared.text,Special Blocks Cleared,特別なブロックがクリアされました,Специальные блоки очищены,清除的特殊方块,Blocs spéciaux supprimés,Spezialblöcke entfernt,특수 블록 클리어,,
gameover.combo_times.text,Combo Times,コンボタイムズ,Кол-во комбо,连击时间,Temps de combo,Combo Mal,콤보 타임즈,,
gameover.replay.txt,Replay,リプレイ,Воспроизвести,重玩,Rejouer,Neues Spiel,다시 플레이,,
rate.title.text,Enjoy playing?,楽しんで遊んでいる？,Нравится игра?,喜欢玩？,Vous aimez jouer ?,Hast du Spaß beim Spielen?,재미있게 플레이하셨나요?,,
rate.content.text,Please take a few seconds to rate us. Thank  you!,評価していただきますか。ありがとうございます。,"Пожалуйста, уделите несколько секунд, чтобы оценить нашу работу. Спасибо!",请花几秒钟给我们评价。谢谢！,Veuillez prendre quelques secondes pour nous évaluer. Merci !,"Bitte opfere ein paar Sekunden deiner Zeit, um uns zu bewerten. Dankeschön!",잠시만 시간을 내어 평가해주세요. 감사합니다!,,
rate.nope.button,Nope,イヤ,Нет,不,Nan,Nee,아니요,,
rate.rate.button,Rate,評価する,Оценить,评价,Noter,Bewerten,평가하기,,
rate.nope.content.text,Haru is sad. Please share your feedback with Haru!,春が寂しい。春にフィールドバックをくださいね。,"Хару очень грустно. Пожалуйста, напишите отзыв для Хару",哈鲁感到难过，请给哈鲁反馈,Haru se sent déjà triste. Veuillez lui faire part de vos commentaires,Haru ist schon traurig. Bitte gib Haru ein Feedback.,하루가 너무 슬퍼해요. 하루에게 피드백을 주세요,,
rate.nope.no.thanks.button,"No, thanks",大丈夫。ありがとうございます。,"НЕТ, СПАСИБО",不，谢谢,"Non, merci","Nein, danke.","아뇨, 괜찮습니다",,
rate.nope.ok.sure.button,"Ok, sure",オケ、確認しました,"Да, конечно",当然可以,"OK, bien sûr","Ja, sicher.",좋아요.,,
cross_promo.get_it_now.button,Get it now,今すぐ取る,Хочу прямо сейчас,立即获取,L'obtenir maintenant,Hol es dir jetzt.,지금 획득하세요,,
content_share_gameover,I just scored {0} in Haru Slide Puzzle. Can you beat my score? \n#Haru_slide \n#block_puzzle \n#Haru_cat,Haru Slide Puzzleで{0}を獲得しました。 私のスコアを打つことができますか？ \n＃Haru_slide \n＃block_puzzle \n＃Haru_cat,Мне удалось набрать {0} баллов в Haru Slide Puzzle. Получится ли у тебя одолеть меня? \n#Haru_slide \n#block_puzzle \n#Haru_cat,我刚刚在哈鲁滑块拼图中得分为{0}。你能超越我的分数吗？\n#Haru_slide \n#block_puzzle \n#Haru_cat,Je viens de marquer {0} dans Haru Slide Puzzle. Pouvez-vous battre mon score ? \n#Haru_slide \n#block_puzzle \n#Haru_cat,Ich habe gerade {0} im Haru Schiebepuzzle erzielt. Kannst du meine Punktzahl übertreffen?\ n# Haru_slide\ n# block_puzzle \n #Haru_cat,Haru Slide Puzzle에서 {0}점을 달성했어요. 제 점수를 이길 수 있을까요? \n#Haru_slide \n#block_puzzle \n#Haru_cat,,
pause.home,Home,うち,Главная,主页,Accueil,Start,홈,,
pause.restart,Restart,再起動,Заново,重新开始,Redémarrer,Neustart,재시작,,
reward.next_reward_in,Next reward in,次の報酬,Следующая награда через,下一奖励,Prochaine récompense dans,Nächste Belohnung in,다음 보상까지:,,
reward.january,January,一月,Январь,1月,Janvier,Januar,1월,,
reward.february,February,二月,Февраль,2月,Février,Februar,2월,,
reward.march,March,三月,Март,3月,Mars,März,3월,,
reward.april,April,四月,Апрель,4月,Avril,April,4월,,
reward.may,May,五月,Май,5月,Mai,Mai,5월,,
reward.june,June,六月,Июнь,6月,Juin,Juni,6월,,
